"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",2.22980018267524,27.8725022834405,27.8725022834405
"comp 2",1.32552496238029,16.5690620297536,44.4415643131941
"comp 3",1.1187931598825,13.9849144985312,58.4264788117253
"comp 4",0.999886744196086,12.4985843024511,70.9250631141764
"comp 5",0.827628391195317,10.3453548899415,81.2704180041179
"comp 6",0.612620105455791,7.65775131819739,88.9281693223153
"comp 7",0.496662676772821,6.20828345966027,95.1364527819755
"comp 8",0.389083777441957,4.86354721802447,100
